H;C;Nb;L;Le;D
280;65;2;220;75;160
280;65;2;220;75;160
330;55;2;220;75;160
380;50;2;220;75;150
430;45;2;220;75;150
480;40;2;220;75;150
530;35;2;220;75;150
580;35;2;220;75;150
630;35;2;220;75;150
680;35;2;220;75;150
730;30;2;220;75;150
780;30;2;220;75;140
830;30;2;220;75;140
