H;C;Nb;L;Le;D
280;65;2;650;160;410
280;65;2;650;160;410
330;55;2;650;160;400
380;50;3;620;145;300
430;45;3;620;145;250
480;40;3;580;125;250
530;35;3;540;105;250
580;35;3;520;95;200
630;35;3;520;95;200
680;35;4;500;85;200
730;30;4;480;75;150
780;30;4;480;75;150
830;30;4;480;75;150
