H;C;Nb;L;Le;D
280;80;2;370;95;300
280;80;2;370;95;300
330;70;2;370;95;300
380;65;2;370;95;300
430;60;2;370;95;300
480;55;2;370;95;250
530;45;2;370;95;250
580;40;2;370;95;200
630;40;2;370;95;200
680;35;2;350;85;200
730;35;2;350;85;180
780;35;3;330;75;150
830;30;3;330;75;150
