H;C;Nb;L;Le;D
280;80;2;220;75;160
280;80;2;220;75;160
330;70;2;220;75;160
380;65;2;220;75;150
430;60;2;220;75;150
480;55;2;220;75;150
530;45;2;220;75;150
580;40;2;220;75;150
630;40;2;220;75;150
680;35;2;220;75;150
730;35;2;220;75;150
780;35;2;220;75;140
830;30;2;220;75;140
